url_path,views_total,views_unique
/ChameleonTartu/gb-demo-bot,12,8
/ChameleonTartu/gb-demo-bot/tree/master/src/main/kotlin/com/example/gbdemobot,6,5
/ChameleonTartu/gb-demo-bot/tree/master/src/main/kotlin/com/example/gbdemobot/bots,6,5
/ChameleonTartu/gb-demo-bot/blob/master/pom.xml,6,3
/ChameleonTartu/gb-demo-bot/blob/master/src/main/kotlin/com/example/gbdemobot/Application.kt,4,4
/ChameleonTartu/gb-demo-bot/blob/master/src/main/kotlin/com/example/gbdemobot/bots/GbBot.kt,4,4
/ChameleonTartu/gb-demo-bot/tree/master/src/main/kotlin/com/example/gbdemobot/bots/processors,4,4
/ChameleonTartu/gb-demo-bot/blob/master/src/main/kotlin/com/example/gbdemobot/bots/processors/GbProcessor.kt,4,3
/ChameleonTartu/gb-demo-bot/blob/master/README.md,1,1
/ChameleonTartu/gb-demo-bot/search,1,1
